WEO Country Code;ISO;WEO Subject Code;Country;Subject Descriptor;Subject Notes;Units;Scale;Country/Series-specific Notes;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;Estimates Start After
512;AFG;NGDPRPPPPC;Afghanistan;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,026.92;1,072.08;1,038.72;1,122.25;1,146.87;1,251.73;1,267.82;1,490.03;1,570.95;1,621.76;1,788.78;1,828.78;1,819.26;1,783.94;1,774.19;1,776.67;1,792.81;1,821.81;1,860.60;1,908.45;1,967.26;2,037.91;2,121.46;2016
914;ALB;NGDPRPPPPC;Albania;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;4,832.60;5,006.76;5,044.23;4,992.69;4,986.52;4,811.77;4,983.94;4,846.31;4,689.16;5,012.15;4,430.50;3,209.25;2,996.30;3,304.04;3,636.88;3,985.10;4,374.85;3,921.38;4,294.56;4,878.96;5,251.23;5,740.35;6,018.79;6,375.35;6,755.11;7,165.01;7,635.95;8,154.22;8,833.32;9,191.34;9,579.50;9,849.80;10,005.93;10,126.89;10,328.96;10,587.72;10,959.54;11,380.82;11,861.93;12,316.21;12,812.04;13,327.26;13,877.58;14,451.97;15,052.68;2016
612;DZA;NGDPRPPPPC;Algeria;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;10,804.44;10,793.20;11,126.69;11,354.82;11,617.53;11,701.67;11,370.95;11,001.83;10,479.31;10,715.54;10,662.27;10,279.21;10,194.02;9,748.52;9,449.27;9,615.61;9,804.20;9,748.58;10,085.10;10,248.75;10,449.54;10,607.25;11,037.24;11,657.14;11,977.71;12,495.60;12,517.12;12,745.55;12,769.90;12,729.21;12,929.23;13,026.66;13,188.92;13,274.28;13,490.90;13,692.85;13,828.92;13,725.08;13,724.50;13,769.09;13,752.16;13,691.38;13,603.88;13,434.03;13,282.06;2017
614;AGO;NGDPRPPPPC;Angola;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;5,276.67;4,911.74;4,785.15;4,858.92;5,017.80;4,608.79;4,610.71;4,679.37;4,835.20;4,708.09;4,427.47;4,341.13;3,968.62;2,928.94;2,881.72;3,217.45;3,546.83;3,694.02;3,754.67;3,724.83;3,726.81;3,770.44;4,160.87;4,160.46;4,481.71;5,005.11;5,420.47;5,999.89;6,475.57;6,340.94;6,455.39;6,484.97;6,833.91;6,963.60;7,086.82;6,944.56;6,563.18;6,351.61;6,057.24;5,906.90;5,900.10;5,855.34;5,853.15;5,898.65;5,948.02;2015
311;ATG;NGDPRPPPPC;Antigua and Barbuda;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;9,082.00;9,502.95;9,605.14;10,268.09;11,497.09;12,586.55;14,280.63;15,495.80;16,550.26;17,580.04;18,127.33;18,371.77;18,285.16;18,825.06;19,574.31;18,228.22;18,907.66;19,393.54;19,770.80;20,009.09;20,906.23;19,537.38;19,527.45;20,490.03;21,434.90;22,566.69;25,168.40;27,206.25;26,908.65;23,399.02;21,483.23;20,812.72;21,313.32;21,064.63;21,811.27;22,447.91;23,281.03;23,868.65;24,872.47;25,587.78;26,152.08;26,520.41;26,762.99;27,007.78;27,254.81;2011
213;ARG;NGDPRPPPPC;Argentina;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;14,710.09;13,621.50;12,973.73;13,270.02;13,308.67;12,175.45;12,879.95;13,056.98;12,646.92;11,616.81;11,225.36;12,238.28;13,316.97;13,941.89;14,567.55;13,979.71;14,577.75;15,579.19;15,998.83;15,290.22;15,010.69;14,205.10;12,536.26;13,531.21;14,599.63;15,741.19;16,842.73;18,179.90;18,732.25;17,452.84;18,911.82;19,817.45;19,392.31;19,637.76;18,935.00;19,243.58;18,645.09;18,933.30;18,255.34;17,838.80;18,025.49;18,401.82;18,819.75;19,293.16;19,761.86;2017
911;ARM;NGDPRPPPPC;Armenia;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2,073.38;1,824.29;1,969.56;2,174.02;2,322.47;2,424.08;2,600.94;2,700.77;2,868.12;3,160.19;3,640.02;4,165.17;4,616.56;5,303.12;6,023.04;6,874.07;7,376.33;6,353.90;6,501.67;6,803.48;7,283.92;7,499.04;7,755.85;7,994.23;8,014.46;8,613.14;9,045.50;9,456.88;9,881.64;10,325.49;10,789.28;11,273.89;11,780.27;2015
314;ABW;NGDPRPPPPC;Aruba;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;39,355.70;38,305.89;39,435.97;39,197.30;39,198.32;41,741.25;39,955.22;38,549.09;38,866.06;41,053.86;40,492.56;40,189.37;40,702.32;40,454.56;35,626.77;34,350.75;35,230.99;34,158.09;34,976.67;34,858.96;34,281.48;34,033.79;34,663.56;34,950.58;35,074.28;35,272.39;35,554.33;35,847.56;36,152.93;36,470.28;2017
193;AUS;NGDPRPPPPC;Australia;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;24,402.81;25,008.79;24,615.76;24,191.27;25,408.43;26,418.52;26,665.80;27,534.05;28,202.02;29,071.60;29,107.66;28,467.03;28,901.01;29,754.14;30,905.57;31,387.48;32,317.50;33,462.03;34,675.89;35,808.61;36,468.79;36,943.57;38,056.65;38,636.08;39,849.76;40,460.60;40,964.01;41,962.80;42,163.40;42,191.77;42,600.75;43,098.68;43,976.48;44,203.45;44,713.66;45,156.35;45,640.28;46,000.57;46,554.63;46,776.88;47,316.41;47,863.75;48,360.13;48,865.95;49,371.14;2018
122;AUT;NGDPRPPPPC;Austria;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;26,129.83;26,051.39;26,515.10;27,339.19;27,426.94;28,023.31;28,649.25;29,091.88;29,334.12;30,402.13;31,513.74;32,318.89;32,623.18;32,447.23;33,033.04;33,830.82;34,595.44;35,279.70;36,503.16;37,727.84;38,907.77;39,250.26;39,701.88;39,897.33;40,731.72;41,363.06;42,570.91;44,012.69;44,514.03;42,735.87;43,418.99;44,541.75;44,643.79;44,386.95;44,331.64;44,393.63;44,727.46;45,478.96;46,344.83;46,913.47;47,386.28;47,817.74;48,234.58;48,674.96;49,137.06;2017
912;AZE;NGDPRPPPPC;Azerbaijan;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6,814.49;5,220.71;4,132.92;3,572.65;3,623.86;3,908.57;4,102.91;4,526.40;4,760.74;5,018.58;5,440.58;5,939.56;6,427.09;8,128.51;10,795.02;13,367.18;14,591.34;15,703.61;16,318.09;15,861.33;15,993.08;16,707.99;16,956.84;16,927.80;16,218.77;16,043.59;16,067.62;16,413.88;16,717.95;16,866.20;16,928.29;16,977.71;17,054.72;2017
