Placement;Dataset;Edition;GLOBAL ID;Series code;Series;Series unindented;Attribute;ALB;DZA;AGO;ARG;ARM;AUS;AUT;AZE;BHR;BGD;BRB;BEL;BLZ;BEN;BTN;BOL;BIH;BWA;BRA;BRN;BGR;BFA;BDI;KHM;CMR;CAN;CPV;TCD;CHL;CHN;COL;COD;CRI;CIV;HRV;CYP;CZE;DNK;DOM;ECU;EGY;SLV;EST;ETH;FIN;FRA;GAB;GMB;GEO;DEU;GHA;GRC;GTM;GIN;GUY;HTI;HND;HKG;HUN;ISL;IND;IDN;IRN;IRL;ISR;ITA;JAM;JPN;JOR;KAZ;KEN;KOR;KWT;KGZ;LAO;LVA;LBN;LSO;LBR;LBY;LTU;LUX;MKD;MDG;MWI;MYS;MLI;MLT;MRT;MUS;MEX;MDA;MNG;MNE;MAR;MOZ;MMR;NAM;NPL;NLD;NZL;NIC;NGA;NOR;OMN;PAK;PAN;PRY;PER;PHL;POL;PRT;PRI;QAT;ROU;RUS;RWA;SAU;SEN;SRB;SYC;SLE;SGP;SVK;SVN;ZAF;ESP;LKA;SUR;SWZ;SWE;CHE;SYR;TWN;TJK;TZA;THA;TLS;TTO;TUN;TUR;UGA;UKR;ARE;GBR;USA;URY;VEN;VNM;YEM;ZMB;ZWE;;GCREAP;GCRMENA;GCRLATAM;GCREUROPENA;GCREURASIA;GCRSSA;GCRSASIA;
Placement;Dataset;Edition;GLOBAL ID;Code GCR;Series;Series unindented;Attribute;Albania;Algeria;Angola;Argentina;Armenia;Australia;Austria;Azerbaijan;Bahrain;Bangladesh;Barbados;Belgium;Belize;Benin;Bhutan;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Cameroon;Canada;Cape Verde;Chad;Chile;China;Colombia;Congo, Democratic Rep.;Costa Rica;Côte d'Ivoire;Croatia;Cyprus;Czech Republic;Denmark;Dominican Republic;Ecuador;Egypt;El Salvador;Estonia;Ethiopia;Finland;France;Gabon;Gambia, The;Georgia;Germany;Ghana;Greece;Guatemala;Guinea;Guyana;Haiti;Honduras;Hong Kong SAR;Hungary;Iceland;India;Indonesia;Iran, Islamic Rep.;Ireland;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Korea, Rep.;Kuwait;Kyrgyz Republic;Lao PDR;Latvia;Lebanon;Lesotho;Liberia;Libya;Lithuania;Luxembourg;Macedonia, FYR;Madagascar;Malawi;Malaysia;Mali;Malta;Mauritania;Mauritius;Mexico;Moldova;Mongolia;Montenegro;Morocco;Mozambique;Myanmar;Namibia;Nepal;Netherlands;New Zealand;Nicaragua;Nigeria;Norway;Oman;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Romania;Russian Federation;Rwanda;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovak Republic;Slovenia;South Africa;Spain;Sri Lanka;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan, China;Tajikistan;Tanzania;Thailand;Timor-Leste;Trinidad and Tobago;Tunisia;Turkey;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States;Uruguay;Venezuela;Viet Nam;Yemen;Zambia;Zimbabwe;;East Asia and Pacific;Middle East and North Africa;Latin America and the Caribbean;Europe and North America;Eurasia;Sub-Saharan Africa;South Asia;
28;Global Competitiveness Index;2017-2018;INVESTPROIDX;1,21;           1.21 Strength of investor protection, 0–10 (best)*;Strength of investor protection, 0–10 (best)*;Value;7,2;3,3;;6,2;6;5,8;6,5;6,5;5;5,7;;5,8;;4;4,8;;5,5;5,5;6,5;5,2;7,3;;4,2;4,8;4,2;7,7;3,7;3,8;6,5;4,5;7,3;3,7;3,5;;6,7;6,7;6;7,2;5,3;4,7;4,8;3,8;6;3,2;5,7;6,5;;3,5;7,7;6;5,3;6,3;3,3;4;;2;4,3;8;5,5;7;7,3;5,7;3,5;7,3;7,5;6,3;5,8;6;3,5;8;5,3;7,3;5,5;6,3;3,5;6,3;4;5;2,8;;6,2;4,5;;4,8;4,3;8;4;6,5;4,5;6,5;6;6,3;6,8;6,3;5,3;4,3;;5,5;5,8;5,7;8,3;4;6,5;7,5;4,7;6,7;5,7;4,2;6;4,2;6,3;5,7;;2,7;6;6;5,2;5,8;4,2;5,7;5;5,3;8,3;5,3;7,5;7;6,5;6,3;;4,3;7,2;5;;7;6,7;4;6,7;;6;4,7;7;5;5,7;7,5;7,8;6,5;4,5;3,2;5,3;4,3;5,3;5,2;;6,2;4,806666667;4,94;6,386842105;6,577777778;4,659375;6,1;
28;Global Competitiveness Index;2016-2017;INVESTPROIDX;1,21;           1.21 Strength of investor protection, 0–10 (best)*;Strength of investor protection, 0–10 (best)*;Value;7,3;3,3;;6;6;5,7;6,3;6,3;4,8;5,3;3,5;5,8;;4;4,7;4,2;5,7;5,5;6,5;4,3;7,2;;4,7;4,8;4,3;7,7;3,7;3,8;6,3;4,3;7,2;3,3;3,5;3,8;6,5;6,7;5,8;6,8;5,5;4,7;4,5;3,8;5,5;3,5;5,7;6,5;3,8;3,7;6,8;6;5,7;6,2;3,3;;;;4,3;8,3;5,5;6,8;7,3;5,3;4;7,3;7,3;6,3;5,8;6,3;3,7;6,7;4,7;7,3;5,7;6,3;3,2;6;4,3;5,2;2,8;;6,2;4,5;7,2;5;4,7;7,8;3,5;6,3;4,3;6,5;5,8;6,3;7,3;6,3;5;5,2;;5,7;5,8;5,7;8,3;4;6,8;7,2;4,3;6,7;5,7;4,2;6;3,8;6;5,7;;4,5;5,8;5,7;5,3;5,2;3,8;5,5;;5,3;8,3;5,3;7,5;7,2;6,5;6;;;7,2;5;;6,7;6,5;4,5;6,3;;6,3;5;6,8;5,2;5,3;6;7,8;6,5;4,5;3,2;4,5;4,5;5,3;5,5;;6,029411765;4,806666667;4,966666667;6,323076923;6,211111111;4,719354839;5,966666667;
28;Global Competitiveness Index;2015-2016;INVESTPROIDX;1,21;           1.21 Strength of investor protection, 0–10 (best)*;Strength of investor protection, 0–10 (best)*;Value;7,3;4,5;;5,8;6;5,7;6,3;5,9;5;6,1;;6,2;;4,4;5;4,1;5,4;4,9;6,3;;6,8;;5,2;5,3;4,7;7,3;3,5;4,3;5,8;4,5;7,2;;2,8;4,3;5,8;6,8;5,4;6,8;5,4;4,7;4,4;4,2;5,8;4,2;5,6;6,8;4,3;3,9;6,1;5,9;5,8;5,8;3,2;3,9;4,4;2;3,2;8,1;4,8;6,5;7,3;6,1;4,2;7,3;7,1;6,7;5,7;6,3;4,2;6,6;4,6;6,7;6,1;6,3;2,9;6;4,9;4,9;2,8;;5,5;4,7;6,7;5,3;4,5;7,4;4,3;5,9;3,8;6,5;5,8;5,8;6,8;6,1;4,6;5,2;2,9;5,3;5,7;5,2;8,2;3,3;5,8;7;4,6;6,7;5,6;3,8;6,2;4,2;6,3;5,9;;4,6;6,2;5,1;4,7;5,8;4,6;6,3;5,8;5,8;8;5,1;6,8;6,8;6,4;5,9;;4,8;6,3;5,5;;6,4;5,8;4,3;6,6;;5,8;5,5;6,9;4,8;4,8;6,1;7,8;6,6;4,8;2,9;4,7;;5,4;5,3;;;;;;;;;
28;Global Competitiveness Index;2014-2015;INVESTPROIDX;1,21;           1.21 Strength of investor protection, 0–10 (best)*;Strength of investor protection, 0–10 (best)*;Value;7,3;5;5,3;5;6,7;5,7;5;6,7;4,7;6,7;3;7;;;3,7;4;;6;5,3;;6;3,7;6,3;5,3;4,3;8,7;4;3,3;6,3;5;8,3;;3;3,3;3,3;6,3;5;6,3;5;;3,7;3;5,7;3,3;5,7;5,3;3,3;2,7;7;5;6,3;5,3;3,3;2,7;5,3;3;3;9;4,3;6;6,3;6;3,7;8,3;8,3;6;5,3;7;3;6,7;5;6;5,3;6,7;1,7;5,7;5;5;;1,7;5,7;4,3;7;5,7;5,3;8,7;3,7;5,7;3,7;7,7;5,7;5,3;6,7;6,3;4,7;6;2,3;5,3;5,3;4,7;9,7;4;5,7;6,7;5;6,3;5,3;5,7;7;4,3;6;6;7;4,3;6;4,7;6,7;6,7;3;5,3;5,7;6,7;9,3;4,7;7,3;8;5;6;2;4,3;6,3;3;;6,3;6,7;5;7,7;4,7;6,7;6;6,3;4,7;4,3;5;8;8,3;5;2,3;3,3;4;5,3;4,3;;;;;;;;;
28;Global Competitiveness Index;2013-2014;INVESTPROIDX;1,21;           1.21 Strength of investor protection, 0–10 (best)*;Strength of investor protection, 0–10 (best)*;Value;7,3;5,3;5,7;4,7;6,7;5,7;5;6,7;5,3;6,7;3;7;;3,3;3,7;4;5;6;5,3;4,7;6;3,7;6;5,3;4,3;8,7;4;3,3;6,3;5;8,3;;3;3,3;4;6,3;5;6,3;5;4;5,3;3;5,7;4,3;5,7;5,3;3,3;2,7;7;5;6;4,7;3,3;2,7;5,3;3;3;9;4,3;6;6;6;3,7;8,3;8,3;6;5,3;7;4,3;8;5;6;6,3;7,7;1,7;5,7;5;5;3,7;;5,7;4,3;7;5,7;5,3;8,7;3,7;5,7;3,7;7,7;6;5,3;6,7;6,3;5;6;;5,3;5,3;4,7;9,7;5;5,7;6,7;5;6,3;5,3;5,7;7,7;4,3;6;6;7;5;6;4,7;6,3;7;3;5,3;5,7;6,3;9,3;4,7;7,3;8;5;6;2;4,3;6,3;3;;6,3;;5;7,7;4;6,7;6;5,7;4;4,7;4,3;8;8,3;5;2,3;3;4;5,3;4,3;;;;;;;;;
28;Global Competitiveness Index;2012-2013;INVESTPROIDX;1,21;           1.21 Strength of investor protection, 0–10 (best)*;Strength of investor protection, 0–10 (best)*;Value;7,3;5,3;;4,7;5;5,7;4;6,7;5,3;6,7;;7;;3,3;;4;5;6;5,3;4,3;6;3,7;6;5,3;4,3;8,3;4;3,3;6,3;5;8,3;;3;3,3;4;6,3;5;6,3;5,7;4;5,3;3;5,7;4,3;5,7;5,3;3,3;2,7;7;5;6;3,3;4;2,7;5,3;3;3;9;4,3;6;6;6;3;8,3;8,3;5,7;5,3;7;4,3;8;5;5,3;6,3;7,7;;5,7;5;3,7;3,7;;5,7;4,3;7;5,7;5,3;8,7;3,7;;3,7;7,7;6;4,7;6,3;6,3;5;6;;5,3;5,3;4,7;9,7;5;5,7;6,7;5;6,3;4,7;5,7;7;4;6;6;7;5;6;4,7;6,3;7;3;5,3;5,7;6,3;9,3;4,7;6,7;8;5;6;2;4,3;6,3;3;;5,3;5,7;5;7,7;4;6,7;;5,7;4;4,7;4,3;8;8,3;5;2,3;3;4;5,3;4,3;;;;;;;;;
28;Global Competitiveness Index;2011-2012;INVESTPROIDX;1,21;           1.21 Strength of investor protection, 0–10 (best)*;Strength of investor protection, 0–10 (best)*;Value;7,3;5,3;5,7;4,7;5;5,7;4;6,7;5,7;6,7;;7;4,3;3,3;;4;5;6;5,3;4,3;6;3,7;3,3;5,3;4,3;8,3;4;3,3;6,3;5;8,3;;3;3,3;4;5;5;6,3;5,7;4;5,3;4,3;5,7;4,3;5,7;5,3;;2,7;6,7;5;6;3,3;4;;5,3;3;3;9;4,3;5,3;6;6;3;8,3;8,3;5,7;5,3;7;4,3;6;5;5,3;6,3;7,7;;5,7;5;3,7;;;5;4,3;6,7;5,7;5,3;8,7;3,7;;3,7;7,7;6;4,7;6,3;6,3;3,3;6;;5,3;5,3;4,7;9,7;5;5,7;6,7;5;6,3;4,7;5,7;6,7;4;6;6;7;5;6;5;6,3;7;3;5,3;;;9,3;4,7;6,7;8;5;5,3;2;4,3;6,3;3;4,7;5,3;5,7;5;7,7;4;6,7;5,3;5,7;4;4,7;4,3;8;8,3;5;2,3;2,7;4;5,3;4,3;;;;;;;;;
28;Global Competitiveness Index;2010-2011;INVESTPROIDX;1,21;           1.21 Strength of investor protection, 0–10 (best)*;Strength of investor protection, 0–10 (best)*;Value;7,3;5,3;5,7;4,7;5;5,7;4;6,7;5,7;6,7;;7;;3,3;;4;5;6;5,3;4,3;6;3,7;3,3;5,3;4,3;8,3;4;4;6;5;8,3;;3;3,3;4;5;5;6,3;5,7;4;5,3;4,3;5,7;4,3;5,7;5,3;;2,7;6;5;6;3,3;4;;5,3;;3;9;4,3;5,3;6;6;3;8,3;8,3;5,7;5,3;7;4,3;5,7;5;5,3;6,3;7,7;;5,7;5;3,7;;;5;4,3;6,7;5,7;5,3;8,7;3,7;;3,7;7,7;6;4,7;6,3;6,3;3;6;;5,3;5,3;4,7;9,7;5;5,7;6,7;5;6,3;4,7;5,7;6,7;4;6;6;7;5;6;5;6,3;7;3;5,3;;;9,3;4,7;6,7;8;5;5,3;;2;5,7;3;4,3;5,3;5,3;5;7,7;4;6,7;5,3;5,7;4;4,7;4,3;8;8,3;5;2,3;2,7;;5,3;4,3;;;;;;;;;
28;Global Competitiveness Index;2009-2010;INVESTPROIDX;1,21;           1.21 Strength of investor protection, 0–10 (best)*;Strength of investor protection, 0–10 (best)*;Value;7,3;5,3;;4,7;5;5,7;4;6,7;5,7;6,7;;7;;3,3;;4;5;6;5,3;4,3;6;3,7;3,3;5,3;4,3;8,3;;4;6;5;6,3;;3;3,3;4;;5;6,3;4;4;5,3;4,3;5,7;4,3;5,7;5,3;;2,7;6;5;6;3,3;4;;5,3;;3,3;9;4,3;5,3;6;5,7;;8,3;8,3;5,7;5,3;7;4,3;5,7;5;5,3;6,3;7,7;;5,7;;3,7;;;5;4,3;5;5,7;5,3;8,7;3,3;;3,7;7,7;6;;6,3;6,3;3;6;;5,3;5,3;4,7;9,7;5;5,7;6,7;5;6,3;4,7;5,7;6,7;4;6;6;7;5;6;5;;6,3;3;5,3;;;9,3;4,7;6,7;8;5;5,3;;;5,7;3;4,3;5,3;3,3;5;7,7;4;6,7;3,7;5,7;4;3,7;4,3;8;8,3;5;2,7;2,7;;5,3;4,3;;;;;;;;;
