,Safety Index,Health Care Index,Cost of Living Index,Pollution Index,Year,City,Country,Continent
0,86.83559951,48.51783841,74.98118414,65.45678476,2016,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
1,92.14065606,44.65584517,74.42508857,61.75707252,2014,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
2,92.19514376,45.06169352,74.42217423,61.99042445,2013,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
3,91.23609394,37.11962225,74.47315605,57.74107078,2015,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
4,91.80972056,41.6129112,74.44256067,60.23674902,2012,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
5,90.64276885,55.49580273,72.786001,68.29674708,2018,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
6,93.93077874,64.29695698,74.24736578,70.98456857,2019,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
7,88.31891224,50.68205666,72.16507777,65.92769688,2017,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
8,57.97698965,50.80499287,41.52105996,95.59715007,2012,"Adelaide, Australia",Australia,Oceania
9,56.00741656,54.28908709,48.85850477,86.58262697,2014,"Adelaide, Australia",Australia,Oceania
10,65.1421508,69.18940189,59.5835424,90.09635586,2018,"Adelaide, Australia",Australia,Oceania
11,56.41532756,47.91448059,37.63171099,96.25443744,2013,"Adelaide, Australia",Australia,Oceania
12,55.62422744,56.49265477,51.50526844,88.48800985,2015,"Adelaide, Australia",Australia,Oceania
13,65.80964153,70.26495278,63.20245861,89.48779251,2017,"Adelaide, Australia",Australia,Oceania
14,57.55253399,61.49003148,64.68263924,86.53191335,2016,"Adelaide, Australia",Australia,Oceania
15,67.73794808,71.45855194,71.21801305,91.16134174,2019,"Adelaide, Australia",Australia,Oceania
16,22.92505289,66.96525179,72.91103638,89.58497287,2014,"Albuquerque, NM, United States",United States,North America
17,23.00988875,66.24475341,72.78913698,89.74860538,2012,"Albuquerque, NM, United States",United States,North America
18,22.94190872,66.81895587,72.88659037,89.6175967,2015,"Albuquerque, NM, United States",United States,North America
19,22.95318707,66.7221036,72.87031592,89.639383,2016,"Albuquerque, NM, United States",United States,North America
20,23.36217553,63.62801679,72.30933266,90.41512715,2018,"Albuquerque, NM, United States",United States,North America
21,22.96125852,66.65327461,72.85870105,89.65495922,2017,"Albuquerque, NM, United States",United States,North America
22,22.65760198,68.86149003,73.26894129,89.08208361,2019,"Albuquerque, NM, United States",United States,North America
23,22.89600133,67.18874209,72.95119423,89.52970709,2013,"Albuquerque, NM, United States",United States,North America
24,48.41779975,63.73294858,74.25363773,47.30855611,2015,"Amman, Jordan",Jordan,Asia
25,46.60074166,63.96904512,78.95760161,48.98210534,2016,"Amman, Jordan",Jordan,Asia
26,47.04309802,68.248027,74.21372858,49.30416131,2012,"Amman, Jordan",Jordan,Asia
27,48.30485149,67.36125821,74.77463588,49.21364028,2013,"Amman, Jordan",Jordan,Asia
