,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
0,"Abu Dhabi, United Arab Emirates",159.21,158.23,83.29,56.71,61.47,5.07,28.9,55.15,0.35,2016
1,"Abu Dhabi, United Arab Emirates",155.88,136.07,84.49,58.36,65.96,4.81,25.61,54.5,6.01,2017
2,"Abu Dhabi, United Arab Emirates",175.14,131.24,86.37,62.03,64.97,5.0,28.67,51.23,43.89,2018
3,"Abu Dhabi, United Arab Emirates",172.29,106.6,89.03,68.74,62.64,5.78,26.53,47.52,43.89,2019
4,"Abu Dhabi, United Arab Emirates",155.9,105.35,86.85,48.02,62.28,5.76,27.67,65.8,-,2015
5,"Adelaide, Australia",193.68,113.86,65.74,72.47,86.02,5.51,34.28,21.14,94.86,2018
6,"Adelaide, Australia",206.65,126.41,67.84,74.2,67.47,4.43,29.75,19.67,94.96,2019
7,"Adelaide, Australia",215.52,163.1,59.6,66.6,77.89,5.17,26.69,26.06,90.61,2016
8,"Adelaide, Australia",164.83,93.75,58.04,62.79,98.9,6.28,26.29,23.36,-,2015
9,"Adelaide, Australia",214.61,131.88,58.68,56.25,121.02,3.59,20.75,12.64,-,2013
10,"Adelaide, Australia",199.84,110.82,66.28,73.29,80.25,5.95,29.92,21.98,89.35,2017
11,"Adelaide, Australia",176.71,104.04,58.35,61.11,103.12,4.97,20.2,25.99,-,2014
12,"Ahmedabad, India",119.59,59.11,63.27,68.7,24.06,8.27,39.48,73.76,49.27,2019
13,"Ahmedabad, India",121.53,73.59,59.51,67.36,28.67,7.74,42.35,73.38,48.31,2018
14,"Ahmedabad, India",111.03,61.37,81.82,61.67,31.2,8.25,52.0,58.79,-,2013
15,"Ahmedabad, India",110.13,65.96,77.99,67.13,27.37,6.99,46.17,70.35,-,2015
16,"Ahmedabad, India",108.2,66.1,76.59,67.13,27.06,6.77,49.0,70.47,-,2014
17,"Ahmedabad, India",106.74,61.66,71.25,70.6,25.96,8.89,39.47,72.32,0.47,2017
18,"Albuquerque, NM, United States",177.22,123.57,31.94,68.23,65.73,2.73,29.74,20.7,67.51,2018
19,"Albuquerque, NM, United States",178.03,122.06,31.37,72.22,64.2,3.05,26.44,22.54,67.06,2019
20,"Almaty, Kazakhstan",51.32,47.17,53.18,65.28,56.8,11.64,40.0,78.74,-,2015
21,"Almaty, Kazakhstan",103.25,46.81,49.94,56.05,36.05,12.13,29.71,77.55,58.3,2018
22,"Almaty, Kazakhstan",119.87,61.77,50.31,66.36,31.31,13.05,24.33,72.08,46.0,2016
23,"Almaty, Kazakhstan",105.82,49.62,49.73,65.81,32.67,12.58,26.6,77.19,37.3,2017
24,"Almaty, Kazakhstan",87.69,40.18,27.18,51.1,30.19,12.42,30.57,76.69,58.3,2019
25,"Amman, Jordan",119.46,50.3,50.74,68.49,55.13,9.46,51.29,77.89,89.26,2016
26,"Amman, Jordan",42.15,39.15,52.21,68.31,62.63,8.44,51.4,80.2,-,2015
27,"Amman, Jordan",116.82,41.69,55.2,71.59,61.8,8.4,50.32,81.57,88.42,2017
28,"Amman, Jordan",113.8,40.96,58.4,66.78,56.76,8.02,44.21,78.56,89.05,2019
29,"Amman, Jordan",110.12,41.83,58.01,71.04,58.47,7.86,53.31,79.75,88.48,2018
30,"Amman, Jordan",39.95,37.58,49.73,72.72,63.93,8.07,60.2,77.27,-,2014
31,"Amsterdam, Netherlands",181.46,122.04,63.92,67.43,76.29,8.82,29.53,38.91,77.0,2016
32,"Amsterdam, Netherlands",173.29,96.16,65.52,70.74,80.88,11.31,30.93,30.77,87.45,2019
33,"Amsterdam, Netherlands",164.92,99.63,66.86,64.63,88.19,8.41,27.0,34.21,-,2015
34,"Amsterdam, Netherlands",176.19,90.41,67.4,72.78,78.01,10.36,27.86,32.08,77.0,2017
35,"Amsterdam, Netherlands",179.2,101.7,66.33,72.41,89.14,9.89,27.58,30.1,87.17,2018
36,"Ankara, Turkey",71.93,63.7,60.95,42.47,48.38,5.26,44.83,81.11,-,2014
37,"Ankara, Turkey",93.05,57.18,72.53,69.72,61.66,5.65,31.6,78.97,-,2013
38,"Ankara, Turkey",129.54,62.0,57.15,70.21,37.33,7.0,35.45,73.46,58.49,2017
39,"Ankara, Turkey",131.85,56.89,56.56,69.91,41.21,7.05,34.43,73.66,91.02,2018
40,"Ankara, Turkey",137.17,81.87,53.82,66.91,44.02,6.22,38.2,66.51,58.41,2016
41,"Ankara, Turkey",130.16,49.39,58.65,66.99,34.29,6.91,36.32,71.58,91.49,2019
42,"Ankara, Turkey",88.46,64.84,60.68,63.15,48.24,5.52,38.45,78.55,-,2015
43,"Antwerp, Belgium",157.9,94.55,64.93,77.22,72.18,6.01,36.67,60.27,85.42,2019
44,"Athens, Greece",125.52,51.3,49.28,49.76,58.6,10.31,36.59,67.46,91.5,2017
45,"Athens, Greece",43.14,41.8,47.65,48.94,86.75,12.94,41.64,59.82,-,2014
46,"Athens, Greece",120.62,52.86,50.44,51.09,64.67,10.74,37.76,62.74,95.22,2018
47,"Athens, Greece",138.01,64.66,51.33,52.7,56.0,9.69,35.46,62.74,91.69,2016
48,"Athens, Greece",-35.53,45.38,39.87,51.69,101.53,11.01,38.67,140.0,-,2012
49,"Athens, Greece",126.58,50.25,51.89,54.39,58.31,10.3,35.95,58.25,95.18,2019
50,"Athens, Greece",31.7,47.63,42.51,46.11,91.83,12.5,41.44,71.78,-,2013
51,"Athens, Greece",57.36,45.54,49.46,49.08,70.48,11.31,39.91,58.14,-,2015
52,"Atlanta, GA, United States",168.57,139.39,35.99,71.21,75.7,3.4,36.42,55.12,79.66,2016
53,"Atlanta, GA, United States",162.22,156.21,40.14,68.52,75.7,2.76,54.0,75.69,-,2015
54,"Atlanta, GA, United States",168.22,153.77,35.01,64.42,74.97,2.55,46.51,49.74,89.74,2018
55,"Atlanta, GA, United States",166.55,148.36,35.19,65.63,76.09,2.74,39.03,54.6,74.47,2017
56,"Atlanta, GA, United States",169.9,145.47,36.37,64.21,72.26,2.93,44.22,44.7,89.73,2019
57,"Auckland, New Zealand",172.51,102.2,54.38,69.72,83.9,10.09,39.87,28.57,84.79,2017
58,"Auckland, New Zealand",154.59,89.08,53.64,72.28,96.24,6.87,34.83,25.46,-,2015
59,"Auckland, New Zealand",171.51,96.88,54.0,74.91,76.98,11.81,37.84,28.62,99.89,2019
60,"Auckland, New Zealand",184.06,118.81,56.92,74.81,80.38,9.85,41.47,30.59,90.42,2016
61,"Auckland, New Zealand",170.18,99.37,53.77,72.76,86.93,11.09,40.57,28.21,99.95,2018
62,"Auckland, New Zealand",147.94,89.13,50.63,72.13,107.55,6.35,34.0,29.02,-,2014
63,"Auckland, New Zealand",140.93,91.19,49.62,71.85,114.6,5.61,39.0,34.78,-,2013
64,"Austin, TX, United States",181.79,126.85,65.27,71.56,74.07,4.55,40.28,36.34,67.06,2017
65,"Austin, TX, United States",192.57,143.76,65.4,70.58,69.94,4.03,35.07,36.97,82.01,2019
66,"Austin, TX, United States",199.52,127.48,57.5,73.61,84.21,3.43,28.0,35.2,-,2013
67,"Austin, TX, United States",181.67,139.16,58.78,75.59,70.23,5.43,34.75,46.41,68.33,2016
68,"Austin, TX, United States",198.66,136.39,58.64,77.84,78.26,3.9,36.75,43.8,-,2015
69,"Austin, TX, United States",193.27,140.39,65.38,74.63,72.46,4.0,38.64,33.61,82.65,2018
70,"Baku, Azerbaijan",98.48,29.19,73.25,36.67,31.31,19.71,33.34,82.47,90.02,2018
71,"Baku, Azerbaijan",93.46,30.62,72.53,35.88,28.59,20.06,39.77,86.69,68.09,2017
72,"Baku, Azerbaijan",99.58,31.58,70.56,36.87,29.69,18.16,38.66,79.63,91.4,2019
73,"Baltimore, MD, United States",162.54,116.79,29.76,82.29,76.57,2.54,36.37,46.95,83.14,2018
74,"Baltimore, MD, United States",167.98,125.36,28.75,80.29,75.24,2.59,32.74,43.88,81.24,2019
75,"Bangalore, India",138.04,113.87,50.0,58.41,25.9,8.19,48.92,83.51,75.24,2016
76,"Bangalore, India",128.22,100.26,50.33,66.96,30.34,7.68,52.84,83.75,87.41,2018
77,"Bangalore, India",96.33,74.04,48.97,69.38,31.46,7.57,49.45,67.98,-,2013
78,"Bangalore, India",117.34,96.06,52.74,68.47,27.06,8.09,52.09,82.98,40.05,2017
79,"Bangalore, India",90.1,74.25,49.59,69.38,28.3,8.13,45.12,76.56,-,2014
80,"Bangalore, India",128.65,88.26,54.25,68.55,27.88,8.15,50.61,82.13,89.39,2019
81,"Bangalore, India",86.34,71.56,38.78,71.78,35.47,8.28,37.38,72.84,-,2012
82,"Bangalore, India",90.15,79.69,48.68,66.01,28.12,8.45,49.68,76.69,-,2015
83,"Bangkok, Thailand",51.49,50.32,54.73,82.25,48.68,22.26,50.73,73.29,-45.35,2016
84,"Bangkok, Thailand",93.8,41.15,54.25,78.52,55.25,22.94,45.92,73.85,58.39,2019
85,"Bangkok, Thailand",52.63,38.19,63.9,95.96,59.58,20.0,38.57,75.26,-,2013
86,"Bangkok, Thailand",57.3,49.07,51.44,82.16,49.65,19.45,50.69,72.28,-35.99,2017
87,"Bangkok, Thailand",-6.17,30.29,55.47,92.59,58.87,34.1,38.75,90.0,-,2012
88,"Bangkok, Thailand",46.89,39.31,62.05,90.15,52.81,19.91,36.5,80.41,-,2014
89,"Bangkok, Thailand",98.18,44.94,52.94,81.83,55.79,20.88,44.9,74.34,58.39,2018
90,"Bangkok, Thailand",46.11,42.45,64.3,86.42,52.1,19.24,48.9,79.43,-,2015
91,"Banja Luka, Bosnia And Herzegovina",152.36,60.43,69.38,50.14,34.59,12.14,24.4,51.41,77.96,2016
92,"Banja Luka, Bosnia And Herzegovina",69.29,42.62,66.33,39.35,51.44,13.08,24.6,59.0,-,2014
93,"Banja Luka, Bosnia And Herzegovina",77.69,46.33,66.33,39.35,42.46,11.63,24.6,59.0,-,2015
94,"Banja Luka, Bosnia And Herzegovina",87.78,47.11,71.15,58.33,48.52,13.41,17.0,61.82,-,2013
95,"Banja Luka, Bosnia And Herzegovina",150.78,51.23,72.66,51.71,34.7,12.83,26.91,48.31,77.42,2017
96,"Barcelona, Spain",81.53,78.06,58.53,58.47,88.48,12.93,30.5,75.86,-,2013
97,"Barcelona, Spain",147.64,83.1,60.35,72.99,61.13,11.78,35.5,69.43,86.15,2017
98,"Barcelona, Spain",158.99,111.05,58.21,70.75,62.86,9.84,35.55,70.97,89.34,2016
