,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,real_city
123,1,2,4,5,6,5,6,5,4,3,2,1,"Perth, Australia"
68,4,5,6,6,7,6,7,6,5,5,4,4,"Hamilton, Canada"
90,4,5,6,7,7,9,10,9,7,6,4,4,"San Antonio, TX, United States"
102,6,7,9,10,11,12,13,13,11,9,8,6,"Austin, TX, United States"
136,8,9,11,12,13,13,13,13,11,10,9,7,"Los Angeles, CA, United States"
5,7,7,10,11,12,13,13,12,11,10,9,8,"Tel Aviv-Yafo, Israel"
116,7,7,9,10,11,12,14,12,11,9,8,6,"San Francisco, CA, United States"
0,9,11,11,11,13,13,12,12,12,11,10,10,"Abu Dhabi, United Arab Emirates"
45,10,10,9,7,5,5,5,6,7,8,9,9,"Adelaide, Australia"
83,8,9,10,12,13,13,12,12,11,10,9,8,"Albuquerque, NM, United States"
77,7,7,8,10,11,13,13,13,11,10,8,6,"Amman, Jordan"
113,2,2,4,5,7,7,6,6,5,3,2,1,"Amsterdam, Netherlands"
143,5,7,8,10,11,12,12,12,10,8,6,5,"Ankara, Turkey"
103,2,3,4,5,6,7,8,8,7,5,4,2,"Antwerp, Belgium"
31,5,6,6,7,9,12,12,11,8,6,4,3,"Athens, Greece"
111,6,6,7,9,10,12,11,10,9,8,7,6,"Atlanta, GA, United States"
1,8,7,6,5,5,4,5,5,5,6,6,7,"Auckland, New Zealand"
44,4,6,9,10,12,13,13,12,10,8,7,5,"Baku, Azerbaijan"
9,9,8,9,8,8,6,5,5,5,6,8,9,"Bangkok, Thailand"
93,5,7,7,8,8,9,10,9,8,6,5,4,"Barcelona, Spain"
126,8,9,9,10,12,12,11,10,10,9,9,8,"Beijing, China"
56,8,8,10,11,13,14,14,13,12,10,9,8,"Beirut, Lebanon"
112,1,2,3,5,6,6,4,4,4,3,2,1,"Belfast, United Kingdom"
50,1,3,5,6,7,8,7,6,4,3,1,1,"Bergen, Norway"
63,2,2,5,6,8,8,8,7,6,4,2,1,"Berlin, Germany"
108,6,6,6,8,9,9,10,9,8,7,6,5,"Boston, MA, United States"
21,5,6,5,6,7,9,10,10,10,9,7,6,"Brasilia, Brazil"
86,1,2,3,4,7,4,7,6,3,3,2,1,"Bratislava, Slovakia"
130,11,10,8,8,8,7,8,8,9,9,9,9,"Brisbane, Australia"
76,5,6,6,6,6,5,6,5,5,4,5,6,"Brussels, Belgium"
35,2,3,5,7,8,9,10,10,8,6,2,2,"Bucharest, Romania"
132,2,3,4,6,8,9,10,9,7,4,2,1,"Budapest, Hungary"
40,9,9,7,7,5,4,5,6,6,7,8,8,"Buenos Aires, Argentina"
129,3,4,5,6,9,11,12,11,8,6,4,3,"Bursa, Turkey"
69,8,9,11,11,12,14,13,13,12,10,9,8,"Cairo, Egypt"
100,5,5,7,8,10,11,12,11,9,7,6,4,"Calgary, Canada"
25,9,10,8,8,8,8,8,8,8,8,8,8,"Canberra, Australia"
27,11,10,9,7,6,6,5,6,7,9,10,11,"Cape Town, South Africa"
42,3,3,6,7,9,10,12,11,9,7,6,3,"Chicago, IL, United States"
89,3,3,4,6,8,10,10,10,8,6,3,2,"Chisinau, Moldova"
3,4,5,6,7,8,9,9,8,8,6,4,3,"Cincinnati, OH, United States"
135,1,3,4,6,7,6,6,5,5,3,2,1,"Cologne, Germany"
107,8,9,9,8,6,7,7,7,8,7,7,7,"Colombo, Sri Lanka"
3,1,2,4,5,8,8,8,7,5,3,1,1,"Copenhagen, Denmark"
32,1,2,3,2,4,4,5,6,3,2,1,1,"Cork, Ireland"
133,6,6,8,7,7,7,7,7,7,7,7,7,"Davao, Philippines"
38,10,10,11,10,8,7,5,4,6,7,9,10,"Delhi, India"
47,3,4,6,8,10,10,11,11,9,7,6,3,"Denver, CO, United States"
55,3,4,5,7,8,10,9,9,8,6,3,3,"Detroit, MI, United States"
36,8,8,9,10,11,12,11,10,10,10,9,8,"Dubai, United Arab Emirates"
33,2,3,4,5,6,6,6,5,4,3,2,1,"Dublin, Ireland"
53,6,7,8,8,8,8,8,9,7,6,6,6,"Durban, South Africa"
97,1,4,6,9,7,6,7,10,7,5,1,0,"Edinburgh, United Kingdom"
105,3,4,4,7,10,11,11,11,9,7,5,3,"Edmonton, Canada"
80,2,2,4,5,7,7,6,6,5,3,2,1,"Eindhoven, Netherlands"
74,1,2,4,5,8,9,8,7,6,3,2,1,"Gdansk, Poland"
106,2,3,5,7,8,9,10,9,7,4,2,1,"Geneva, Switzerland"
109,1,3,3,5,6,5,5,5,4,3,2,1,"Glasgow, United Kingdom"
146,1,2,3,5,7,8,8,7,5,3,2,1,"Gothenburg, Sweden"
61,8,8,10,11,13,14,14,13,12,10,9,8,"Haifa, Israel"
20,3,3,5,7,7,8,9,8,8,6,5,3,"Halifax, Canada"
87,2,2,4,6,8,8,7,6,6,3,2,1,"Hamburg, Germany"
118,5,5,6,6,7,7,8,7,7,7,7,5,"Hanoi, Vietnam"
10,5,4,4,4,5,6,7,7,6,6,6,6,"Hong Kong, Hong Kong"
26,6,7,7,8,9,11,11,10,8,9,7,6,"Houston, TX, United States"
37,4,5,6,7,9,10,10,9,8,6,4,3,"Indianapolis, IN, United States"
138,8,8,10,11,13,13,12,11,11,11,9,8,"Islamabad, Pakistan"
58,3,4,5,6,9,11,12,11,8,6,4,3,"Istanbul, Turkey"
12,4,6,6,8,10,12,13,12,10,8,6,4,"Izmir, Turkey"
7,5,6,6,7,8,9,13,12,10,7,6,4,"Jacksonville, FL, United States"
41,9,11,11,11,13,12,12,11,11,11,10,9,"Jeddah (Jiddah), Saudi Arabia"
104,9,10,9,9,9,9,9,11,11,10,11,11,"Johannesburg, South Africa"
124,9,11,12,12,13,11,8,7,11,11,11,10,"Karachi, Pakistan"
18,9,10,11,12,11,11,7,7,8,10,9,9,"Kathmandu, Nepal"
101,2,2,4,5,7,7,7,6,5,3,2,1,"Krakow (Cracow), Poland"
131,6,8,7,8,8,8,8,8,8,7,6,6,"Kuala Lumpur, Malaysia"
60,10,9,9,9,8,6,6,5,6,7,9,10,"Lagos, Nigeria"
5,8,9,10,12,13,13,13,13,12,10,9,7,"Las Vegas, NV, United States"
115,2,2,3,4,5,5,6,5,4,3,2,2,"Leeds, United Kingdom"
2,6,7,7,7,5,2,1,1,2,3,4,5,"Lima, Peru"
73,5,6,7,9,10,12,12,11,10,8,7,5,"Limassol, Cyprus"
117,5,7,7,8,9,10,11,10,8,6,5,4,"Lisbon, Portugal"
142,3,5,6,6,7,9,10,9,7,5,4,3,"Ljubljana, Slovenia"
92,1,2,4,5,6,7,6,6,5,3,2,1,"London, United Kingdom"
99,1,2,5,6,6,6,6,6,5,3,1,1,"Luxembourg, Luxembourg"
145,2,3,5,6,7,8,8,7,6,6,2,2,"Lviv, Ukraine"
79,7,8,7,10,10,12,11,10,9,8,8,6,"Madison, WI, United States"
4,4,5,6,7,8,10,11,11,9,6,5,4,"Madrid, Spain"
22,1,2,3,5,5,5,5,5,4,3,1,1,"Manchester, United Kingdom"
65,5,7,8,9,8,7,7,7,6,6,6,6,"Manila, Philippines"
125,11,9,8,7,5,5,5,5,7,8,9,10,"Melbourne, Australia"
147,8,8,8,8,7,7,6,6,5,6,9,8,"Mexico City, Mexico"
71,6,6,7,9,10,12,12,11,9,8,7,6,"Miami, FL, United States"
13,3,5,6,6,7,8,10,9,7,4,3,3,"Milan, Italy"
98,1,1,3,8,9,10,10,10,7,4,2,1,"Minsk, Belarus"
11,1,2,4,6,8,9,9,7,5,2,1,1,"Moscow, Russia"
29,9,10,9,10,10,5,2,3,5,8,9,9,"Mumbai, India"
62,2,3,5,6,7,8,8,7,6,4,2,2,"Munich, Germany"
114,9,11,11,11,13,13,12,12,12,11,11,10,"Muscat, Oman"
122,8,9,8,5,5,6,7,7,8,7,6,7,"Nairobi, Kenya"
6,6,6,7,8,9,11,11,10,9,7,6,6,"New York, NY, United States"
51,5,7,7,9,11,13,13,12,11,9,7,5,"Nicosia, Cyprus"
96,2,3,5,6,7,9,10,9,8,5,3,2,"Novi Sad, Serbia"
110,2,3,5,7,9,10,11,10,8,6,2,2,"Odessa, Ukraine"
23,7,7,8,10,10,11,10,9,9,8,8,7,"Orlando, FL, United States"
67,1,3,5,6,7,8,7,6,4,3,1,1,"Oslo, Norway"
119,1,2,2,5,6,6,8,8,8,5,2,2,"Paris, France"
94,5,6,7,8,8,10,10,8,8,7,5,5,"Philadelphia, PA, United States"
14,4,6,7,7,8,10,10,9,7,6,4,3,"Porto, Portugal"
141,9,10,9,9,9,9,9,11,11,10,11,11,"Pretoria, South Africa"
2,3,3,5,7,9,9,10,9,7,6,5,2,"Quebec City, Canada"
